Ticker,dji
2022-12-29,33220.80078125
2022-12-30,33147.25
2023-01-03,33136.37109375
2023-01-04,33269.76953125
2023-01-05,32930.078125
2023-01-06,33630.609375
2023-01-09,33517.6484375
2023-01-10,33704.1015625
2023-01-11,33973.01171875
2023-01-12,34189.96875
2023-01-13,34302.609375
2023-01-17,33910.8515625
2023-01-18,33296.9609375
2023-01-19,33044.55859375
2023-01-20,33375.48828125
2023-01-23,33629.55859375
2023-01-24,33733.9609375
2023-01-25,33743.83984375
2023-01-26,33949.41015625
2023-01-27,33978.078125
2023-01-30,33717.08984375
2023-01-31,34086.0390625
2023-02-01,34092.9609375
2023-02-02,34053.94140625
2023-02-03,33926.01171875
2023-02-06,33891.01953125
2023-02-07,34156.69140625
2023-02-08,33949.01171875
2023-02-09,33699.87890625
2023-02-10,33869.26953125
2023-02-13,34245.9296875
2023-02-14,34089.26953125
2023-02-15,34128.05078125
2023-02-16,33696.8515625
2023-02-17,33826.69140625
2023-02-21,33129.58984375
2023-02-22,33045.08984375
2023-02-23,33153.91015625
2023-02-24,32816.921875
2023-02-27,32889.08984375
2023-02-28,32656.69921875
2023-03-01,32661.83984375
2023-03-02,33003.5703125
2023-03-03,33390.96875
2023-03-06,33431.44140625
2023-03-07,32856.4609375
2023-03-08,32798.3984375
2023-03-09,32254.859375
2023-03-10,31909.640625
2023-03-13,31819.140625
2023-03-14,32155.400390625
2023-03-15,31874.5703125
2023-03-16,32246.55078125
2023-03-17,31861.98046875
2023-03-20,32244.580078125
2023-03-21,32560.599609375
2023-03-22,32030.109375
2023-03-23,32105.25
2023-03-24,32237.529296875
2023-03-27,32432.080078125
2023-03-28,32394.25
2023-03-29,32717.599609375
2023-03-30,32859.03125
2023-03-31,33274.1484375
2023-04-03,33601.1484375
2023-04-04,33402.37890625
2023-04-05,33482.71875
2023-04-06,33485.2890625
2023-04-10,33586.51953125
2023-04-11,33684.7890625
2023-04-12,33646.5
2023-04-13,34029.69140625
2023-04-14,33886.46875
2023-04-17,33987.1796875
2023-04-18,33976.62890625
2023-04-19,33897.01171875
2023-04-20,33786.62109375
2023-04-21,33808.9609375
2023-04-24,33875.3984375
2023-04-25,33530.828125
2023-04-26,33301.87109375
2023-04-27,33826.16015625
2023-04-28,34098.16015625
2023-05-01,34051.69921875
2023-05-02,33684.53125
2023-05-03,33414.23828125
2023-05-04,33127.73828125
2023-05-05,33674.37890625
2023-05-08,33618.69140625
2023-05-09,33561.80859375
2023-05-10,33531.328125
2023-05-11,33309.51171875
2023-05-12,33300.62109375
2023-05-15,33348.6015625
2023-05-16,33012.140625
2023-05-17,33420.76953125
2023-05-18,33535.91015625
2023-05-19,33426.62890625
2023-05-22,33286.578125
2023-05-23,33055.51171875
2023-05-24,32799.921875
2023-05-25,32764.650390625
2023-05-26,33093.33984375
2023-05-30,33042.78125
2023-05-31,32908.26953125
2023-06-01,33061.5703125
2023-06-02,33762.76171875
2023-06-05,33562.859375
2023-06-06,33573.28125
2023-06-07,33665.01953125
2023-06-08,33833.609375
2023-06-09,33876.78125
2023-06-12,34066.328125
2023-06-13,34212.12109375
2023-06-14,33979.328125
2023-06-15,34408.05859375
2023-06-16,34299.12109375
2023-06-20,34053.87109375
2023-06-21,33951.51953125
2023-06-22,33946.7109375
2023-06-23,33727.4296875
2023-06-26,33714.7109375
2023-06-27,33926.73828125
2023-06-28,33852.66015625
2023-06-29,34122.421875
2023-06-30,34407.6015625
2023-07-03,34418.46875
2023-07-05,34288.640625
2023-07-06,33922.26171875
2023-07-07,33734.87890625
2023-07-10,33944.3984375
2023-07-11,34261.421875
2023-07-12,34347.4296875
2023-07-13,34395.140625
2023-07-14,34509.03125
2023-07-17,34585.3515625
2023-07-18,34951.9296875
2023-07-19,35061.2109375
2023-07-20,35225.1796875
2023-07-21,35227.69140625
2023-07-24,35411.23828125
2023-07-25,35438.0703125
2023-07-26,35520.12109375
2023-07-27,35282.71875
2023-07-28,35459.2890625
2023-07-31,35559.53125
2023-08-01,35630.6796875
2023-08-02,35282.51953125
2023-08-03,35215.890625
2023-08-04,35065.62109375
2023-08-07,35473.12890625
2023-08-08,35314.48828125
2023-08-09,35123.359375
2023-08-10,35176.1484375
2023-08-11,35281.3984375
2023-08-14,35307.62890625
2023-08-15,34946.390625
2023-08-16,34765.73828125
2023-08-17,34474.828125
2023-08-18,34500.66015625
2023-08-21,34463.69140625
2023-08-22,34288.828125
2023-08-23,34472.98046875
2023-08-24,34099.421875
2023-08-25,34346.8984375
2023-08-28,34559.98046875
2023-08-29,34852.671875
2023-08-30,34890.23828125
2023-08-31,34721.91015625
2023-09-01,34837.7109375
2023-09-05,34641.96875
2023-09-06,34443.19140625
2023-09-07,34500.73046875
2023-09-08,34576.58984375
2023-09-11,34663.71875
2023-09-12,34645.98828125
2023-09-13,34575.53125
2023-09-14,34907.109375
2023-09-15,34618.23828125
2023-09-18,34624.30078125
2023-09-19,34517.73046875
2023-09-20,34440.87890625
2023-09-21,34070.421875
2023-09-22,33963.83984375
2023-09-25,34006.87890625
2023-09-26,33618.87890625
2023-09-27,33550.26953125
2023-09-28,33666.33984375
2023-09-29,33507.5
2023-10-02,33433.3515625
2023-10-03,33002.37890625
2023-10-04,33129.55078125
2023-10-05,33119.5703125
2023-10-06,33407.578125
2023-10-09,33604.6484375
2023-10-10,33739.30078125
2023-10-11,33804.87109375
2023-10-12,33631.140625
2023-10-13,33670.2890625
2023-10-16,33984.5390625
2023-10-17,33997.6484375
2023-10-18,33665.078125
2023-10-19,33414.171875
2023-10-20,33127.28125
2023-10-23,32936.41015625
2023-10-24,33141.37890625
2023-10-25,33035.9296875
2023-10-26,32784.30078125
2023-10-27,32417.58984375
2023-10-30,32928.9609375
2023-10-31,33052.87109375
2023-11-01,33274.578125
2023-11-02,33839.078125
2023-11-03,34061.3203125
2023-11-06,34095.859375
2023-11-07,34152.6015625
2023-11-08,34112.26953125
2023-11-09,33891.94140625
2023-11-10,34283.1015625
2023-11-13,34337.87109375
2023-11-14,34827.69921875
2023-11-15,34991.2109375
2023-11-16,34945.46875
2023-11-17,34947.28125
2023-11-20,35151.0390625
2023-11-21,35088.2890625
2023-11-22,35273.03125
2023-11-24,35390.1484375
2023-11-27,35333.46875
2023-11-28,35416.98046875
2023-11-29,35430.421875
2023-11-30,35950.890625
2023-12-01,36245.5
2023-12-04,36204.44140625
2023-12-05,36124.55859375
2023-12-06,36054.4296875
2023-12-07,36117.37890625
2023-12-08,36247.87109375
2023-12-11,36404.9296875
2023-12-12,36577.94140625
2023-12-13,37090.23828125
2023-12-14,37248.3515625
2023-12-15,37305.16015625
2023-12-18,37306.01953125
2023-12-19,37557.921875
2023-12-20,37082.0
2023-12-21,37404.3515625
2023-12-22,37385.96875
2023-12-26,37545.328125
2023-12-27,37656.51953125
2023-12-28,37710.1015625
2023-12-29,37689.5390625
